date,dem,state,agency
2014-08-04,47.4208,US,nyt
2014-08-05,46.1436,US,nyt
2014-08-06,46.8872,US,nyt
2014-08-07,47.3516,US,nyt
2014-08-08,47.3368,US,nyt
2014-08-09,47.1516,US,nyt
2014-08-10,47.1288,US,nyt
2014-08-11,46.814,US,nyt
2014-08-12,46.9468,US,nyt
2014-08-13,45.2016,US,nyt
2014-08-14,43.2288,US,nyt
2014-08-15,43.1804,US,nyt
2014-08-16,41.6068,US,nyt
2014-08-17,41.8796,US,nyt
2014-08-18,41.7056,US,nyt
2014-08-19,39.2648,US,nyt
2014-08-20,38.3324,US,nyt
2014-08-21,38.1672,US,nyt
2014-08-22,36.296,US,nyt
2014-08-23,35.2388,US,nyt
2014-08-24,34.7324,US,nyt
2014-08-25,32.9016,US,nyt
2014-08-26,32.8208,US,nyt
2014-08-27,34.6552,US,nyt
2014-08-28,34.792,US,nyt
2014-08-29,34.7628,US,nyt
2014-08-30,34.4612,US,nyt
2014-08-31,34.6332,US,nyt
2014-09-01,34.728,US,nyt
2014-09-02,34.2332,US,nyt
2014-09-03,33.0956,US,nyt
2014-09-04,40.3092,US,nyt
2014-09-05,41.6728,US,nyt
2014-09-06,42.1116,US,nyt
2014-09-07,38.7608,US,nyt
2014-09-08,38.748,US,nyt
2014-09-09,40.6768,US,nyt
2014-09-10,40.024,US,nyt
2014-09-11,43.018,US,nyt
2014-09-12,48.3808,US,nyt
2014-09-13,48.1932,US,nyt
2014-09-14,48.4308,US,nyt
2014-09-15,46.9024,US,nyt
2014-09-16,50.3828,US,nyt
2014-09-17,43.312,US,nyt
2014-09-18,42.512,US,nyt
2014-09-19,44.192,US,nyt
2014-09-20,44.3888,US,nyt
2014-09-21,44.3944,US,nyt
2014-09-22,43.3564,US,nyt
2014-09-23,39.9952,US,nyt
2014-09-24,40.6528,US,nyt
2014-09-25,38.6484,US,nyt
2014-09-26,36.74,US,nyt
2014-09-27,36.1576,US,nyt
2014-09-28,32.9488,US,nyt
2014-09-29,32.9268,US,nyt
2014-09-30,33.4792,US,nyt
2014-10-01,35.3396,US,nyt
2014-10-02,37.2544,US,nyt
2014-10-03,37.5232,US,nyt
2014-10-04,37.6912,US,nyt
2014-10-05,40.134,US,nyt
2014-10-06,38.5496,US,nyt
2014-10-07,40.0008,US,nyt
2014-10-08,39.48,US,nyt
2014-10-09,37.4412,US,nyt
2014-10-10,34.402,US,nyt
2014-10-11,34.6332,US,nyt
2014-10-12,35.8888,US,nyt
2014-10-13,31.77,US,nyt
2014-10-14,27.5964,US,nyt
2014-10-15,26.57,US,nyt
2014-10-16,28.9272,US,nyt
2014-10-17,28.354,US,nyt
2014-10-18,29.5736,US,nyt
2014-10-19,31.4204,US,nyt
2014-10-20,33.8828,US,nyt
2014-10-21,33.2872,US,nyt
2014-10-22,32.6696,US,nyt
2014-10-23,37.3656,US,nyt
2014-10-24,35.9436,US,nyt
2014-10-25,36.6812,US,nyt
2014-10-26,31.726,US,nyt
2014-10-27,29.7116,US,nyt
2014-10-28,34.7812,US,nyt
2014-10-29,31.626,US,nyt
2014-10-30,29.0236,US,nyt
2014-10-31,30.6408,US,nyt
2014-11-01,30.0212,US,nyt
2014-11-02,31.0872,US,nyt
2014-11-03,30.0348,US,nyt
2014-11-04,25.0088,US,nyt
2014-01-01,57.0473476760705,AK,nyt
2014-01-02,56.9937500918108,AK,nyt
2014-01-03,57.0196303704734,AK,nyt
2014-01-04,57.0227298505037,AK,nyt
2014-01-05,56.6143610757529,AK,nyt
